Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9
0.0,0.0014208039348549426,0.0015732706410418302,0.0010006330370556146,0.0007395221226259331,6.793594334433611e-05,0.0017354802386924965,0.0011918807996067807,0.0009399442374501679
5e-07,0.4342914803629291,0.24474662861443056,0.08568950859671028,0.06736094855958571,0.031016948969547094,0.08331762450376448,0.0821506647242463,0.026255636383963284
1e-06,0.405850155785786,0.27819078294956645,0.1700658833515765,0.14618066856320616,0.12261352865705219,0.16021114452198223,0.17655048743937582,0.0834503501206014
1.5e-06,0.33177769666918805,0.23318182778570565,0.14506547556650393,0.1255374081129733,0.10948364298126055,0.13583027182632948,0.15373198670827476,0.07219893082047074
2e-06,0.28395876853025803,0.19942511244726302,0.12256510888523095,0.10739636131523467,0.09135189638948855,0.11520030298069747,0.1309134863262526,0.05907227509734836
2.4999999999999998e-06,0.2511418575627025,0.17567038736704618,0.10381480355151051,0.09207030472937024,0.07759677851237472,0.10050926476106511,0.11309630133387069,0.049071013685461684
3e-06,0.22707612310211941,0.15472872219609524,0.08975207469012844,0.08206145154295962,0.06884352178329048,0.09144458168772177,0.09840493842355041,0.04063244943046618
3.5e-06,0.21363681693413608,0.13941317623928012,0.07943940693382358,0.07549314167963819,0.06102811405629988,0.08581822670875056,0.08902747280760179,0.03656943703134488
4e-06,0.2058232668653489,0.13159912224881978,0.07537684086547253,0.07173982177202644,0.05540102053187533,0.08300504922848273,0.08371357564969463,0.035319279372681395
4.5e-06,0.20051005283057455,0.12941118713984967,0.07350181037571211,0.0701759384802499,0.053212706392302564,0.08112959757838623,0.08277582909424344,0.03563181878723242
4.9999999999999996e-06,0.1986348008206068,0.13316193304317941,0.07350181037571211,0.0701759384802499,0.052587473781902414,0.0789415706567279,0.08183808253933876,0.03594435820186001
5.5e-06,0.2017602208378869,0.13597499247772865,0.07693936627520985,0.07142704511352713,0.052587473781902414,0.07862899538250899,0.08371357564969463,0.03594435820186001
6e-06,0.20863614488768406,0.13941317623928012,0.0810019323473544,0.07299092840674397,0.053212706392302564,0.07925414593102272,0.08590165094787593,0.03594435820186001
6.5e-06,0.20519818286075525,0.13972573839986938,0.08568950859671028,0.07267815174795653,0.054463171614311294,0.07987929647984018,0.08746456187697586,0.03625689761656416
7e-06,0.1876958307862614,0.13034887361467504,0.08537700351301071,0.06955038516404316,0.05540102053187533,0.07800384483429901,0.08496390439114734,0.034694200543808944
7.499999999999999e-06,0.151440958957152,0.10846952271009169,0.07537684086547253,0.05922875548813333,0.050399159648673496,0.06831401137590394,0.07589902103759691,0.029068491097723637
